id_student,code_module,code_presentation,at_risk,gender,region,highest_education,imd_band,age_band,disability,num_of_prev_attempts,studied_credits,date_registration,withdrawn_before_cutoff,sum_click_total,n_active_days,n_early_assessments,mean_early_score,min_early_score
100415,CCC,2013J,0,F,Scotland,HE Qualification,90-100%,55<=,N,1,60,-38.0,0,37.0,5.0,2.0,80.85,77.5
100620,BBB,2013J,0,M,London Region,Lower Than A Level,20-30%,35-55,N,2,30,-18.0,0,23.0,3.0,1.0,81.6,81.6
100726,CCC,2014J,0,F,North Western Region,HE Qualification,70-80%,55<=,N,1,90,-57.0,0,11.0,2.0,1.0,75.5,75.5
100658,BBB,2014J,0,F,South East Region,Lower Than A Level,50-60%,35-55,N,0,60,-43.0,0,11.0,3.0,1.0,70.8,70.8
100713,CCC,2014J,0,F,East Anglian Region,Lower Than A Level,30-40%,0-35,N,0,30,-28.0,0,3.0,2.0,1.0,57.7,57.7
100736,AAA,2013J,1,F,East Anglian Region,Lower Than A Level,70-80%,0-35,N,1,30,-21.0,0,0.0,0.0,2.0,33.5,19.0
100341,AAA,2013J,1,M,East Anglian Region,A Level or Equivalent,30-40%,35-55,N,2,30,-32.0,0,0.0,0.0,0.0,,
100189,CCC,2014J,1,F,South East Region,Lower Than A Level,30-40%,0-35,Y,2,90,-25.0,0,14.0,3.0,1.0,53.7,53.7
100823,AAA,2013J,0,F,North Western Region,Post Graduate Qualification,50-60%,35-55,N,2,120,-28.0,0,6.0,1.0,1.0,69.2,69.2
100729,AAA,2013J,0,F,London Region,A Level or Equivalent,80-90%,0-35,N,1,60,-33.0,0,71.0,8.0,1.0,100.0,100.0
100872,CCC,2014J,0,M,North Western Region,Post Graduate Qualification,90-100%,35-55,N,1,30,-36.0,0,6.0,1.0,2.0,71.25,65.5
100812,AAA,2014J,0,F,London Region,Post Graduate Qualification,60-70%,0-35,N,1,90,-39.0,0,50.0,5.0,2.0,75.35,73.1
100268,BBB,2013J,0,F,Scotland,Post Graduate Qualification,70-80%,55<=,N,1,120,-25.0,0,2.0,2.0,1.0,50.4,50.4
100459,AAA,2013J,1,F,London Region,Post Graduate Qualification,80-90%,0-35,N,1,30,-22.0,0,14.0,3.0,0.0,,
100103,AAA,2014J,0,M,North Western Region,Lower Than A Level,20-30%,0-35,N,1,120,-26.0,0,20.0,4.0,1.0,63.0,63.0
100664,CCC,2013J,0,M,East Anglian Region,A Level or Equivalent,20-30%,35-55,Y,0,30,-54.0,0,79.0,6.0,2.0,87.5,83.3
100705,AAA,2013J,0,F,North Western Region,HE Qualification,50-60%,35-55,N,2,60,-50.0,0,24.0,2.0,2.0,81.55000000000001,75.2
100107,AAA,2013J,0,M,London Region,HE Qualification,60-70%,35-55,N,0,90,-22.0,0,44.0,4.0,2.0,87.5,84.2
100835,CCC,2013J,1,M,East Anglian Region,Lower Than A Level,70-80%,55<=,N,0,30,-1.0,1,7.0,1.0,0.0,,
100082,CCC,2014J,1,F,Scotland,HE Qualification,10-20%,0-35,N,0,60,-27.0,0,0.0,0.0,0.0,,
100051,AAA,2014J,0,F,London Region,Post Graduate Qualification,80-90%,35-55,N,2,30,-38.0,0,0.0,0.0,2.0,68.65,68.3
100312,CCC,2014J,1,M,Scotland,Post Graduate Qualification,40-50%,0-35,N,0,30,-26.0,1,2.0,1.0,1.0,39.0,39.0
100632,BBB,2013J,1,M,Scotland,A Level or Equivalent,90-100%,0-35,N,0,120,-53.0,0,6.0,3.0,2.0,46.85,45.5
100800,CCC,2013J,1,M,North Western Region,Lower Than A Level,70-80%,0-35,N,0,30,-4.0,0,8.0,1.0,1.0,41.2,41.2
100659,AAA,2014J,0,M,London Region,A Level or Equivalent,,0-35,N,0,30,-26.0,0,29.0,3.0,2.0,75.6,69.0
100411,CCC,2013J,1,M,London Region,A Level or Equivalent,60-70%,35-55,N,0,30,-43.0,0,4.0,1.0,2.0,50.150000000000006,41.6
100104,BBB,2014J,1,F,North Western Region,A Level or Equivalent,50-60%,35-55,N,0,30,-33.0,1,0.0,0.0,0.0,,
100256,CCC,2014J,0,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,N,2,90,-41.0,0,18.0,4.0,2.0,44.900000000000006,33.7
100294,BBB,2013J,1,M,Scotland,A Level or Equivalent,40-50%,55<=,N,0,120,-4.0,0,2.0,1.0,0.0,,
100333,CCC,2014J,0,M,East Anglian Region,Lower Than A Level,90-100%,0-35,N,2,30,-34.0,0,6.0,1.0,0.0,,
100475,BBB,2014J,0,F,South East Region,A Level or Equivalent,40-50%,0-35,N,1,90,-27.0,0,4.0,1.0,2.0,51.55,38.8
100523,AAA,2013J,0,M,East Anglian Region,A Level or Equivalent,0-10%,35-55,N,1,60,-19.0,0,6.0,1.0,1.0,44.9,44.9
100888,CCC,2014J,0,M,South East Region,Lower Than A Level,20-30%,0-35,N,2,30,-45.0,0,22.0,3.0,2.0,73.95,69.4
100346,CCC,2013J,1,M,East Anglian Region,Post Graduate Qualification,60-70%,0-35,N,1,90,-26.0,0,0.0,0.0,1.0,27.2,27.2
100025,AAA,2014J,1,F,Scotland,HE Qualification,60-70%,35-55,N,1,30,-25.0,0,1.0,1.0,0.0,,
100135,BBB,2014J,0,M,North Western Region,Post Graduate Qualification,,0-35,N,0,90,-61.0,0,45.0,6.0,2.0,63.0,59.8
100291,BBB,2013J,0,M,South East Region,HE Qualification,,0-35,N,1,90,-25.0,0,3.0,1.0,1.0,52.7,52.7
100696,BBB,2014J,1,F,East Anglian Region,Lower Than A Level,50-60%,35-55,N,0,90,-31.0,0,1.0,1.0,0.0,,
100258,CCC,2013J,0,M,Scotland,Post Graduate Qualification,60-70%,0-35,N,1,30,-27.0,0,5.0,1.0,2.0,64.05,60.4
100165,CCC,2014J,1,M,South East Region,A Level or Equivalent,80-90%,35-55,N,1,60,-29.0,0,36.0,5.0,2.0,77.75,72.3
100487,AAA,2014J,1,M,Scotland,HE Qualification,0-10%,35-55,N,1,90,-25.0,0,8.0,1.0,2.0,56.699999999999996,47.3
100810,CCC,2014J,0,F,Scotland,A Level or Equivalent,60-70%,0-35,N,1,120,-3.0,0,0.0,0.0,0.0,,
100730,BBB,2014J,0,F,North Western Region,A Level or Equivalent,50-60%,0-35,Y,0,30,-54.0,0,18.0,3.0,1.0,70.5,70.5
100825,CCC,2013J,1,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,N,0,60,-37.0,0,0.0,0.0,0.0,,
100553,CCC,2014J,1,M,South East Region,A Level or Equivalent,80-90%,35-55,N,1,120,-17.0,1,11.0,2.0,1.0,52.0,52.0
100011,BBB,2013J,1,M,South East Region,HE Qualification,70-80%,0-35,N,0,60,-20.0,0,0.0,0.0,0.0,,
100747,BBB,2014J,0,F,South East Region,HE Qualification,70-80%,55<=,Y,0,60,-21.0,0,0.0,0.0,0.0,,
100668,BBB,2013J,1,F,Scotland,Lower Than A Level,70-80%,0-35,N,0,120,10.0,0,2.0,1.0,2.0,54.3,41.6
100155,CCC,2014J,1,M,East Anglian Region,Lower Than A Level,60-70%,35-55,N,1,120,-18.0,0,6.0,2.0,2.0,39.8,25.7
100551,BBB,2013J,1,F,London Region,Post Graduate Qualification,20-30%,0-35,N,0,90,-7.0,0,0.0,0.0,1.0,37.5,37.5
100210,AAA,2014J,0,F,Scotland,HE Qualification,30-40%,0-35,N,1,90,-36.0,0,27.0,5.0,2.0,74.35,68.2
100581,BBB,2013J,0,F,South East Region,Post Graduate Qualification,80-90%,0-35,N,0,90,-50.0,0,4.0,1.0,1.0,46.0,46.0
100297,AAA,2014J,0,F,North Western Region,HE Qualification,60-70%,35-55,N,0,60,-36.0,0,18.0,2.0,2.0,76.55,63.6
100082,BBB,2013J,0,M,South East Region,HE Qualification,20-30%,55<=,N,0,120,-16.0,0,4.0,2.0,1.0,69.0,69.0
100682,AAA,2013J,1,M,North Western Region,Post Graduate Qualification,90-100%,0-35,N,0,30,-22.0,1,2.0,1.0,1.0,47.3,47.3
100488,AAA,2013J,1,M,North Western Region,HE Qualification,,0-35,N,1,30,-22.0,0,0.0,0.0,2.0,50.900000000000006,45.6
100170,CCC,2013J,0,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,N,1,90,-34.0,0,1.0,1.0,0.0,,
100879,AAA,2014J,0,F,East Anglian Region,HE Qualification,20-30%,0-35,N,2,120,-37.0,0,19.0,2.0,2.0,62.0,59.1
100105,BBB,2013J,0,F,East Anglian Region,Lower Than A Level,,35-55,Y,0,120,-34.0,0,6.0,1.0,1.0,71.1,71.1
100355,CCC,2013J,1,F,London Region,A Level or Equivalent,20-30%,55<=,N,1,90,-16.0,0,0.0,0.0,0.0,,
100546,CCC,2013J,1,M,Scotland,HE Qualification,40-50%,35-55,N,1,60,-13.0,1,1.0,1.0,0.0,,
100242,BBB,2013J,1,F,South East Region,Lower Than A Level,90-100%,0-35,N,1,60,-50.0,0,1.0,1.0,0.0,,
100508,AAA,2014J,0,M,East Anglian Region,HE Qualification,50-60%,0-35,N,1,60,-15.0,0,26.0,3.0,2.0,93.9,88.1
100402,CCC,2014J,1,F,South East Region,HE Qualification,20-30%,35-55,Y,1,60,-43.0,0,0.0,0.0,0.0,,
100567,CCC,2013J,1,M,North Western Region,A Level or Equivalent,0-10%,0-35,N,2,60,-21.0,0,0.0,0.0,0.0,,
100597,BBB,2014J,0,M,East Anglian Region,Lower Than A Level,30-40%,35-55,N,0,30,-34.0,0,22.0,3.0,1.0,76.8,76.8
100451,AAA,2014J,0,M,East Anglian Region,HE Qualification,70-80%,0-35,N,0,60,1.0,0,15.0,3.0,2.0,74.1,63.9
100660,AAA,2014J,1,F,Scotland,Post Graduate Qualification,70-80%,0-35,N,1,120,-38.0,0,4.0,2.0,1.0,42.7,42.7
100107,AAA,2014J,0,M,Scotland,HE Qualification,20-30%,35-55,N,1,90,-26.0,0,5.0,2.0,1.0,59.9,59.9
100133,AAA,2014J,0,M,Scotland,A Level or Equivalent,10-20%,0-35,N,0,30,-18.0,0,13.0,2.0,1.0,62.1,62.1
100109,CCC,2013J,1,M,London Region,HE Qualification,70-80%,55<=,N,0,60,-47.0,0,1.0,1.0,0.0,,
100104,AAA,2014J,0,F,East Anglian Region,A Level or Equivalent,10-20%,0-35,N,1,60,-31.0,0,0.0,0.0,0.0,,
100385,AAA,2013J,0,M,East Anglian Region,A Level or Equivalent,0-10%,0-35,N,1,60,-35.0,0,8.0,2.0,2.0,43.25,23.0
100719,CCC,2013J,0,M,North Western Region,A Level or Equivalent,50-60%,0-35,N,0,90,-40.0,0,22.0,3.0,2.0,85.44999999999999,82.3
100046,CCC,2014J,1,M,South East Region,Lower Than A Level,60-70%,0-35,Y,1,120,-39.0,0,3.0,2.0,0.0,,
100258,AAA,2013J,0,M,Scotland,Post Graduate Qualification,20-30%,0-35,N,2,90,-8.0,0,3.0,2.0,1.0,70.1,70.1
100068,BBB,2014J,0,F,South East Region,HE Qualification,20-30%,0-35,N,1,60,-42.0,0,23.0,4.0,2.0,73.0,67.2
100137,BBB,2014J,0,F,Scotland,Lower Than A Level,20-30%,35-55,N,2,30,-19.0,0,78.0,6.0,2.0,90.65,81.3
100006,BBB,2014J,1,M,Scotland,Post Graduate Qualification,30-40%,35-55,N,0,30,-24.0,0,0.0,0.0,2.0,37.3,32.4
100158,CCC,2013J,1,F,East Anglian Region,Lower Than A Level,0-10%,0-35,N,0,120,-58.0,0,8.0,2.0,1.0,71.1,71.1
100771,CCC,2013J,0,M,London Region,HE Qualification,0-10%,0-35,Y,1,90,-20.0,0,35.0,4.0,2.0,72.69999999999999,69.8
100776,CCC,2013J,1,F,London Region,Lower Than A Level,40-50%,0-35,N,0,90,-58.0,0,0.0,0.0,0.0,,
100017,AAA,2014J,0,M,North Western Region,A Level or Equivalent,0-10%,35-55,N,0,90,-17.0,0,27.0,3.0,2.0,82.9,69.9
100269,AAA,2013J,1,M,East Anglian Region,HE Qualification,30-40%,35-55,N,0,120,-40.0,0,1.0,1.0,0.0,,
100484,BBB,2014J,0,M,East Anglian Region,Post Graduate Qualification,60-70%,0-35,N,2,120,-30.0,0,13.0,2.0,1.0,66.4,66.4
100011,AAA,2013J,1,M,London Region,Post Graduate Qualification,0-10%,0-35,N,1,30,-56.0,0,7.0,2.0,1.0,41.0,41.0
100171,AAA,2013J,0,F,East Anglian Region,Lower Than A Level,60-70%,0-35,N,1,30,-11.0,0,0.0,0.0,2.0,47.75,39.8
100737,CCC,2013J,0,F,North Western Region,Lower Than A Level,60-70%,0-35,N,0,60,-46.0,0,16.0,3.0,1.0,58.6,58.6
100250,AAA,2013J,1,M,South East Region,Post Graduate Qualification,60-70%,55<=,N,0,90,-42.0,0,25.0,4.0,2.0,70.35,57.9
100117,AAA,2013J,0,F,London Region,Post Graduate Qualification,80-90%,0-35,N,2,30,-21.0,0,13.0,3.0,1.0,85.6,85.6
100570,AAA,2014J,0,M,East Anglian Region,A Level or Equivalent,0-10%,0-35,N,1,30,-20.0,0,12.0,2.0,1.0,69.9,69.9
100619,AAA,2014J,0,F,South East Region,Lower Than A Level,10-20%,0-35,N,0,60,-79.0,0,7.0,1.0,0.0,,
100268,BBB,2014J,1,F,London Region,HE Qualification,30-40%,35-55,N,0,90,10.0,0,0.0,0.0,0.0,,
100398,BBB,2013J,0,M,North Western Region,Lower Than A Level,70-80%,0-35,Y,1,90,-19.0,0,43.0,7.0,1.0,42.8,42.8
100874,CCC,2013J,1,M,East Anglian Region,Lower Than A Level,90-100%,0-35,N,0,30,-16.0,0,0.0,0.0,2.0,79.30000000000001,66.2
100855,AAA,2014J,0,M,London Region,Post Graduate Qualification,,0-35,N,0,30,-33.0,0,100.0,9.0,2.0,93.8,87.6
100879,BBB,2014J,0,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,N,0,120,-67.0,0,14.0,4.0,2.0,65.1,58.2
100203,BBB,2014J,1,F,North Western Region,Lower Than A Level,40-50%,0-35,N,0,90,-17.0,0,0.0,0.0,1.0,59.2,59.2
100630,BBB,2013J,0,M,Scotland,HE Qualification,40-50%,55<=,Y,1,120,-41.0,0,19.0,3.0,2.0,70.05,63.6
100840,CCC,2013J,1,F,South East Region,A Level or Equivalent,0-10%,0-35,N,0,120,-19.0,0,0.0,0.0,2.0,83.4,81.1
100794,AAA,2014J,0,F,East Anglian Region,HE Qualification,50-60%,0-35,N,0,120,-34.0,0,2.0,1.0,1.0,54.1,54.1
100558,BBB,2014J,1,M,North Western Region,Post Graduate Qualification,50-60%,55<=,N,0,90,-25.0,1,6.0,2.0,2.0,52.400000000000006,52.1
100131,CCC,2014J,0,F,East Anglian Region,Lower Than A Level,20-30%,35-55,N,0,120,-45.0,0,33.0,6.0,2.0,67.5,61.7
100697,CCC,2014J,1,M,North Western Region,HE Qualification,80-90%,0-35,N,0,60,-13.0,0,0.0,0.0,0.0,,
100293,BBB,2013J,1,F,London Region,Post Graduate Qualification,80-90%,35-55,Y,0,120,-54.0,0,4.0,1.0,1.0,48.3,48.3
100252,BBB,2014J,0,M,South East Region,A Level or Equivalent,30-40%,0-35,N,0,60,10.0,0,0.0,0.0,1.0,58.9,58.9
100268,CCC,2014J,0,F,North Western Region,Post Graduate Qualification,,0-35,N,2,60,10.0,0,50.0,6.0,1.0,75.1,75.1
100402,BBB,2014J,0,M,Scotland,A Level or Equivalent,10-20%,35-55,N,1,90,3.0,0,4.0,1.0,2.0,53.400000000000006,51.2
100086,CCC,2014J,1,M,East Anglian Region,A Level or Equivalent,,35-55,N,1,60,-4.0,0,0.0,0.0,0.0,,
100389,AAA,2013J,1,M,London Region,Post Graduate Qualification,80-90%,0-35,N,0,30,-32.0,0,0.0,0.0,1.0,24.8,24.8
100520,BBB,2014J,1,F,London Region,HE Qualification,20-30%,35-55,N,2,120,-7.0,0,0.0,0.0,0.0,,
100543,AAA,2013J,1,M,East Anglian Region,Post Graduate Qualification,70-80%,0-35,N,0,60,-32.0,0,1.0,1.0,2.0,49.0,41.5
100894,AAA,2014J,1,F,London Region,Post Graduate Qualification,30-40%,0-35,N,1,120,-61.0,0,0.0,0.0,1.0,39.5,39.5
100870,BBB,2013J,1,F,Scotland,HE Qualification,80-90%,55<=,N,0,60,0.0,0,0.0,0.0,0.0,,
100303,AAA,2014J,1,F,Scotland,Lower Than A Level,10-20%,0-35,N,1,120,-7.0,0,6.0,3.0,1.0,39.5,39.5
100746,BBB,2014J,1,F,East Anglian Region,A Level or Equivalent,20-30%,35-55,Y,0,90,-31.0,0,3.0,2.0,0.0,,
100575,BBB,2013J,0,F,Scotland,Post Graduate Qualification,30-40%,35-55,N,0,120,-55.0,0,0.0,0.0,0.0,,
100149,BBB,2013J,0,M,Scotland,HE Qualification,20-30%,35-55,N,0,120,-42.0,0,49.0,4.0,2.0,82.15,72.7
100059,CCC,2014J,0,F,East Anglian Region,A Level or Equivalent,30-40%,0-35,N,1,30,-66.0,0,27.0,4.0,0.0,,
100524,CCC,2013J,1,M,London Region,A Level or Equivalent,60-70%,55<=,N,0,120,-11.0,0,15.0,3.0,0.0,,
