code_module,code_presentation,id_assessment,assessment_type,date,weight
AAA,2013J,1,TMA,20,20
AAA,2013J,2,TMA,45,20
AAA,2013J,3,TMA,90,20
AAA,2013J,4,TMA,130,20
AAA,2013J,5,Exam,230,20
AAA,2014J,6,TMA,20,20
AAA,2014J,7,TMA,45,20
AAA,2014J,8,TMA,90,20
AAA,2014J,9,TMA,130,20
AAA,2014J,10,Exam,230,20
BBB,2013J,11,TMA,20,20
BBB,2013J,12,TMA,45,20
BBB,2013J,13,TMA,90,20
BBB,2013J,14,TMA,130,20
BBB,2013J,15,Exam,230,20
BBB,2014J,16,TMA,20,20
BBB,2014J,17,TMA,45,20
BBB,2014J,18,TMA,90,20
BBB,2014J,19,TMA,130,20
BBB,2014J,20,Exam,230,20
CCC,2013J,21,TMA,20,20
CCC,2013J,22,TMA,45,20
CCC,2013J,23,TMA,90,20
CCC,2013J,24,TMA,130,20
CCC,2013J,25,Exam,230,20
CCC,2014J,26,TMA,20,20
CCC,2014J,27,TMA,45,20
CCC,2014J,28,TMA,90,20
CCC,2014J,29,TMA,130,20
CCC,2014J,30,Exam,230,20
