id_assessment,id_student,date_submitted,is_banked,score
21,100415,20,0,84.2
22,100415,49,0,77.5
23,100415,92,0,89.8
24,100415,131,0,70.1
11,100620,24,0,81.6
13,100620,90,0,68.2
14,100620,131,0,64.1
26,100726,24,0,75.5
28,100726,95,0,49.0
29,100726,130,0,82.5
16,100658,27,0,70.8
18,100658,90,0,66.6
19,100658,132,0,57.9
27,100713,45,0,57.7
28,100713,92,0,79.1
29,100713,133,0,59.2
1,100736,20,0,48.0
2,100736,51,0,19.0
3,100736,98,0,26.0
27,100189,45,0,53.7
29,100189,130,0,75.6
1,100823,21,0,69.2
3,100823,91,0,31.8
4,100823,131,0,80.8
1,100729,20,0,100.0
3,100729,94,0,90.7
4,100729,130,0,69.6
26,100872,20,0,65.5
27,100872,46,0,77.0
28,100872,90,0,79.2
29,100872,134,0,85.8
6,100812,20,0,73.1
7,100812,45,0,77.6
8,100812,98,0,84.7
9,100812,136,0,100.0
11,100268,23,0,50.4
3,100459,90,0,58.7
4,100459,134,0,41.3
6,100103,20,0,63.0
8,100103,90,0,54.2
9,100103,130,0,79.6
21,100664,23,0,83.3
22,100664,47,0,91.7
23,100664,94,0,75.5
24,100664,133,0,100.0
1,100705,22,0,75.2
2,100705,47,0,87.9
3,100705,90,0,82.6
4,100705,130,0,86.2
1,100107,21,0,90.8
2,100107,45,0,84.2
3,100107,90,0,74.9
4,100107,134,0,74.0
28,100082,90,0,29.2
6,100051,20,0,69.0
7,100051,49,0,68.3
8,100051,91,0,68.9
9,100051,130,0,75.8
27,100312,46,0,39.0
11,100632,20,0,45.5
12,100632,47,0,48.2
14,100632,134,0,55.0
21,100800,20,0,41.2
6,100659,25,0,82.2
7,100659,50,0,69.0
8,100659,91,0,79.0
9,100659,130,0,94.6
21,100411,22,0,41.6
22,100411,45,0,58.7
23,100411,92,0,47.3
26,100256,20,0,33.7
27,100256,45,0,56.1
28,100256,94,0,47.8
13,100294,90,0,50.0
14,100294,131,0,73.5
16,100475,21,0,38.8
17,100475,52,0,64.3
19,100475,130,0,58.6
1,100523,25,0,44.9
3,100523,90,0,44.7
26,100888,20,0,69.4
27,100888,48,0,78.5
28,100888,91,0,60.6
29,100888,131,0,87.8
22,100346,46,0,27.2
8,100025,97,0,41.3
16,100135,20,0,59.8
17,100135,45,0,66.2
18,100135,90,0,59.3
19,100135,135,0,75.1
12,100291,45,0,52.7
21,100258,20,0,67.7
22,100258,45,0,60.4
23,100258,91,0,66.5
24,100258,130,0,66.4
26,100165,26,0,72.3
27,100165,46,0,83.2
29,100165,130,0,50.8
6,100487,28,0,47.3
7,100487,49,0,66.1
17,100730,45,0,70.5
24,100825,131,0,48.3
26,100553,20,0,52.0
28,100553,90,0,74.6
29,100553,134,0,63.4
14,100011,130,0,41.5
19,100747,131,0,50.6
11,100668,20,0,67.0
12,100668,45,0,41.6
26,100155,20,0,25.7
27,100155,45,0,53.9
28,100155,94,0,68.6
12,100551,45,0,37.5
6,100210,20,0,68.2
7,100210,50,0,80.5
8,100210,95,0,81.8
9,100210,134,0,72.2
12,100581,50,0,46.0
13,100581,90,0,66.7
14,100581,130,0,29.4
6,100297,22,0,63.6
7,100297,53,0,89.5
11,100082,22,0,69.0
13,100082,90,0,69.8
1,100682,20,0,47.3
1,100488,23,0,45.6
2,100488,45,0,56.2
4,100488,130,0,35.0
6,100879,21,0,64.9
7,100879,45,0,59.1
8,100879,90,0,56.0
9,100879,130,0,57.3
12,100105,47,0,71.1
13,100242,90,0,54.0
14,100242,132,0,37.4
6,100508,20,0,88.1
7,100508,45,0,99.7
8,100508,90,0,97.1
9,100508,134,0,88.1
28,100402,90,0,28.7
17,100597,45,0,76.8
18,100597,90,0,73.9
19,100597,133,0,60.5
6,100451,20,0,84.3
7,100451,45,0,63.9
8,100451,91,0,63.4
9,100451,130,0,80.8
7,100660,50,0,42.7
9,100660,130,0,30.1
6,100107,23,0,59.9
6,100133,20,0,62.1
8,100133,91,0,74.3
9,100133,132,0,81.7
1,100385,22,0,63.5
2,100385,45,0,23.0
21,100719,20,0,88.6
22,100719,45,0,82.3
23,100719,90,0,98.8
2,100258,45,0,70.1
3,100258,90,0,77.8
4,100258,136,0,67.4
16,100068,23,0,78.8
17,100068,46,0,67.2
18,100068,97,0,69.7
19,100068,131,0,46.5
16,100137,21,0,100.0
17,100137,45,0,81.3
18,100137,90,0,84.4
19,100137,130,0,97.2
16,100006,20,0,32.4
17,100006,50,0,42.2
21,100158,20,0,71.1
23,100158,91,0,64.3
21,100771,21,0,69.8
22,100771,45,0,75.6
23,100771,93,0,81.4
24,100771,137,0,98.9
6,100017,22,0,69.9
7,100017,45,0,95.9
8,100017,90,0,68.7
4,100269,130,0,51.0
17,100484,45,0,66.4
18,100484,95,0,51.2
19,100484,130,0,51.8
2,100011,45,0,41.0
3,100011,90,0,39.8
1,100171,23,0,55.7
2,100171,45,0,39.8
3,100171,91,0,63.0
21,100737,22,0,58.6
23,100737,90,0,62.9
1,100250,22,0,57.9
2,100250,45,0,82.8
3,100250,94,0,42.0
4,100250,131,0,66.3
1,100117,20,0,85.6
3,100117,90,0,52.7
4,100117,135,0,58.8
7,100570,45,0,69.9
8,100570,92,0,74.1
9,100619,130,0,72.5
11,100398,20,0,42.8
13,100398,90,0,49.0
21,100874,23,0,66.2
22,100874,45,0,92.4
23,100874,90,0,67.1
24,100874,131,0,80.2
6,100855,22,0,100.0
7,100855,48,0,87.6
8,100855,92,0,100.0
9,100855,130,0,80.7
16,100879,20,0,58.2
17,100879,50,0,72.0
18,100879,91,0,62.3
17,100203,45,0,59.2
18,100203,99,0,50.5
11,100630,20,0,76.5
12,100630,45,0,63.6
13,100630,93,0,56.4
14,100630,132,0,86.7
21,100840,24,0,85.7
22,100840,45,0,81.1
23,100840,90,0,57.3
6,100794,20,0,54.1
16,100558,20,0,52.7
17,100558,46,0,52.1
18,100558,90,0,39.3
26,100131,24,0,61.7
27,100131,46,0,73.3
28,100131,93,0,66.9
11,100293,20,0,48.3
13,100293,90,0,55.1
14,100293,134,0,57.2
17,100252,46,0,58.9
18,100252,90,0,61.3
19,100252,131,0,66.5
27,100268,47,0,75.1
29,100268,132,0,65.8
16,100402,26,0,55.6
17,100402,45,0,51.2
1,100389,24,0,24.8
1,100543,21,0,56.5
2,100543,46,0,41.5
6,100894,22,0,39.5
