code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
CCC,2013J,100415,F,Scotland,HE Qualification,90-100%,55<=,1,60,N,Distinction
BBB,2013J,100620,M,London Region,Lower Than A Level,20-30%,35-55,2,30,N,Distinction
CCC,2014J,100726,F,North Western Region,HE Qualification,70-80%,55<=,1,90,N,Pass
BBB,2014J,100658,F,South East Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass
CCC,2014J,100713,F,East Anglian Region,Lower Than A Level,30-40%,0-35,0,30,N,Pass
AAA,2013J,100736,F,East Anglian Region,Lower Than A Level,70-80%,0-35,1,30,N,Fail
AAA,2013J,100341,M,East Anglian Region,A Level or Equivalent,30-40%,35-55,2,30,N,Fail
CCC,2014J,100189,F,South East Region,Lower Than A Level,30-40%,0-35,2,90,Y,Fail
AAA,2013J,100823,F,North Western Region,Post Graduate Qualification,50-60%,35-55,2,120,N,Pass
AAA,2013J,100729,F,London Region,A Level or Equivalent,80-90%,0-35,1,60,N,Distinction
CCC,2014J,100872,M,North Western Region,Post Graduate Qualification,90-100%,35-55,1,30,N,Distinction
AAA,2014J,100812,F,London Region,Post Graduate Qualification,60-70%,0-35,1,90,N,Distinction
BBB,2013J,100268,F,Scotland,Post Graduate Qualification,70-80%,55<=,1,120,N,Pass
AAA,2013J,100459,F,London Region,Post Graduate Qualification,80-90%,0-35,1,30,N,Withdrawn
AAA,2014J,100103,M,North Western Region,Lower Than A Level,20-30%,0-35,1,120,N,Pass
CCC,2013J,100664,M,East Anglian Region,A Level or Equivalent,20-30%,35-55,0,30,Y,Pass
AAA,2013J,100705,F,North Western Region,HE Qualification,50-60%,35-55,2,60,N,Pass
AAA,2013J,100107,M,London Region,HE Qualification,60-70%,35-55,0,90,N,Pass
CCC,2013J,100835,M,East Anglian Region,Lower Than A Level,70-80%,55<=,0,30,N,Withdrawn
CCC,2014J,100082,F,Scotland,HE Qualification,10-20%,0-35,0,60,N,Withdrawn
AAA,2014J,100051,F,London Region,Post Graduate Qualification,80-90%,35-55,2,30,N,Pass
CCC,2014J,100312,M,Scotland,Post Graduate Qualification,40-50%,0-35,0,30,N,Withdrawn
BBB,2013J,100632,M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,Fail
CCC,2013J,100800,M,North Western Region,Lower Than A Level,70-80%,0-35,0,30,N,Fail
AAA,2014J,100659,M,London Region,A Level or Equivalent,,0-35,0,30,N,Pass
CCC,2013J,100411,M,London Region,A Level or Equivalent,60-70%,35-55,0,30,N,Fail
BBB,2014J,100104,F,North Western Region,A Level or Equivalent,50-60%,35-55,0,30,N,Withdrawn
CCC,2014J,100256,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,2,90,N,Pass
BBB,2013J,100294,M,Scotland,A Level or Equivalent,40-50%,55<=,0,120,N,Fail
CCC,2014J,100333,M,East Anglian Region,Lower Than A Level,90-100%,0-35,2,30,N,Distinction
BBB,2014J,100475,F,South East Region,A Level or Equivalent,40-50%,0-35,1,90,N,Pass
AAA,2013J,100523,M,East Anglian Region,A Level or Equivalent,0-10%,35-55,1,60,N,Pass
CCC,2014J,100888,M,South East Region,Lower Than A Level,20-30%,0-35,2,30,N,Pass
CCC,2013J,100346,M,East Anglian Region,Post Graduate Qualification,60-70%,0-35,1,90,N,Fail
AAA,2014J,100025,F,Scotland,HE Qualification,60-70%,35-55,1,30,N,Fail
BBB,2014J,100135,M,North Western Region,Post Graduate Qualification,,0-35,0,90,N,Pass
BBB,2013J,100291,M,South East Region,HE Qualification,,0-35,1,90,N,Distinction
BBB,2014J,100696,F,East Anglian Region,Lower Than A Level,50-60%,35-55,0,90,N,Fail
