code_module,code_presentation,id_student,date_registration,date_unregistration
CCC,2013J,100415,-38.0,
BBB,2013J,100620,-18.0,
CCC,2014J,100726,-57.0,
BBB,2014J,100658,-43.0,
CCC,2014J,100713,-28.0,
AAA,2013J,100736,-21.0,
AAA,2013J,100341,-32.0,
CCC,2014J,100189,-25.0,
AAA,2013J,100823,-28.0,
AAA,2013J,100729,-33.0,
CCC,2014J,100872,-36.0,
AAA,2014J,100812,-39.0,
BBB,2013J,100268,-25.0,
AAA,2013J,100459,-22.0,67.0
AAA,2014J,100103,-26.0,
CCC,2013J,100664,-54.0,
AAA,2013J,100705,-50.0,
AAA,2013J,100107,-22.0,
CCC,2013J,100835,-1.0,60.0
CCC,2014J,100082,-27.0,175.0
AAA,2014J,100051,-38.0,
CCC,2014J,100312,-26.0,52.0
BBB,2013J,100632,-53.0,
CCC,2013J,100800,-4.0,
AAA,2014J,100659,-26.0,
CCC,2013J,100411,-43.0,
BBB,2014J,100104,-33.0,42.0
CCC,2014J,100256,-41.0,
BBB,2013J,100294,-4.0,
CCC,2014J,100333,-34.0,
BBB,2014J,100475,-27.0,
AAA,2013J,100523,-19.0,
CCC,2014J,100888,-45.0,
CCC,2013J,100346,-26.0,
AAA,2014J,100025,-25.0,
BBB,2014J,100135,-61.0,
BBB,2013J,100291,-25.0,
BBB,2014J,100696,-31.0,
CCC,2013J,100258,-27.0,
CCC,2014J,100165,-29.0,
AAA,2014J,100487,-25.0,169.0
CCC,2014J,100810,-3.0,
BBB,2014J,100730,-54.0,
CCC,2013J,100825,-37.0,126.0
CCC,2014J,100553,-17.0,53.0
BBB,2013J,100011,-20.0,
BBB,2014J,100747,-21.0,
BBB,2013J,100668,10.0,
CCC,2014J,100155,-18.0,163.0
BBB,2013J,100551,-7.0,
AAA,2014J,100210,-36.0,
BBB,2013J,100581,-50.0,
AAA,2014J,100297,-36.0,
BBB,2013J,100082,-16.0,
AAA,2013J,100682,-22.0,53.0
AAA,2013J,100488,-22.0,
CCC,2013J,100170,-34.0,
AAA,2014J,100879,-37.0,
BBB,2013J,100105,-34.0,
CCC,2013J,100355,-16.0,181.0
CCC,2013J,100546,-13.0,12.0
BBB,2013J,100242,-50.0,137.0
AAA,2014J,100508,-15.0,
CCC,2014J,100402,-43.0,
CCC,2013J,100567,-21.0,
BBB,2014J,100597,-34.0,
AAA,2014J,100451,1.0,
AAA,2014J,100660,-38.0,
AAA,2014J,100107,-26.0,
AAA,2014J,100133,-18.0,
CCC,2013J,100109,-47.0,139.0
AAA,2014J,100104,-31.0,
AAA,2013J,100385,-35.0,
CCC,2013J,100719,-40.0,
CCC,2014J,100046,-39.0,
AAA,2013J,100258,-8.0,
BBB,2014J,100068,-42.0,
BBB,2014J,100137,-19.0,
BBB,2014J,100006,-24.0,88.0
CCC,2013J,100158,-58.0,
CCC,2013J,100771,-20.0,
CCC,2013J,100776,-58.0,160.0
AAA,2014J,100017,-17.0,
AAA,2013J,100269,-40.0,90.0
BBB,2014J,100484,-30.0,
AAA,2013J,100011,-56.0,
AAA,2013J,100171,-11.0,
CCC,2013J,100737,-46.0,
AAA,2013J,100250,-42.0,152.0
AAA,2013J,100117,-21.0,
AAA,2014J,100570,-20.0,
AAA,2014J,100619,-79.0,
BBB,2014J,100268,10.0,
BBB,2013J,100398,-19.0,
CCC,2013J,100874,-16.0,
AAA,2014J,100855,-33.0,
BBB,2014J,100879,-67.0,
BBB,2014J,100203,-17.0,
BBB,2013J,100630,-41.0,
CCC,2013J,100840,-19.0,
AAA,2014J,100794,-34.0,
BBB,2014J,100558,-25.0,55.0
CCC,2014J,100131,-45.0,
CCC,2014J,100697,-13.0,
BBB,2013J,100293,-54.0,132.0
BBB,2014J,100252,10.0,
CCC,2014J,100268,10.0,
BBB,2014J,100402,3.0,
CCC,2014J,100086,-4.0,
AAA,2013J,100389,-32.0,175.0
BBB,2014J,100520,-7.0,222.0
AAA,2013J,100543,-32.0,
AAA,2014J,100894,-61.0,86.0
BBB,2013J,100870,0.0,
AAA,2014J,100303,-7.0,
BBB,2014J,100746,-31.0,111.0
BBB,2013J,100575,-55.0,
BBB,2013J,100149,-42.0,
CCC,2014J,100059,-66.0,
CCC,2013J,100524,-11.0,
BBB,2014J,100871,-62.0,
AAA,2014J,100012,-24.0,
CCC,2014J,100837,-47.0,
AAA,2013J,100334,-59.0,
BBB,2013J,100600,-25.0,112.0
BBB,2014J,100067,-37.0,
AAA,2014J,100244,-13.0,
BBB,2014J,100843,-55.0,
AAA,2013J,100801,-45.0,
AAA,2014J,100296,-78.0,198.0
BBB,2014J,100346,-74.0,
AAA,2014J,100872,6.0,
CCC,2013J,100729,10.0,
AAA,2014J,100869,-28.0,
CCC,2013J,100299,-36.0,
AAA,2014J,100694,-13.0,
CCC,2014J,100610,-40.0,
CCC,2013J,100379,-25.0,
CCC,2014J,100812,-30.0,
AAA,2014J,100719,-41.0,
CCC,2014J,100694,-41.0,
CCC,2013J,100082,-24.0,
CCC,2014J,100193,-50.0,
AAA,2014J,100109,-21.0,221.0
CCC,2013J,100351,-39.0,
AAA,2014J,100590,-27.0,
BBB,2013J,100124,-2.0,
BBB,2013J,100876,-33.0,
BBB,2014J,100194,-12.0,
BBB,2013J,100466,-66.0,
AAA,2013J,100185,-39.0,
BBB,2013J,100225,-29.0,
CCC,2014J,100135,8.0,
BBB,2013J,100799,-69.0,
AAA,2014J,100826,-32.0,
CCC,2014J,100753,-1.0,
AAA,2014J,100802,-46.0,
BBB,2014J,100054,-34.0,150.0
BBB,2013J,100387,-23.0,
BBB,2013J,100174,-26.0,
CCC,2014J,100281,1.0,
BBB,2014J,100081,-21.0,
CCC,2014J,100098,-3.0,
AAA,2013J,100106,-37.0,
CCC,2013J,100519,-45.0,
BBB,2014J,100447,-35.0,
AAA,2014J,100363,-53.0,
AAA,2013J,100658,-20.0,
BBB,2014J,100308,-43.0,23.0
BBB,2013J,100714,-20.0,
AAA,2014J,100247,-53.0,
BBB,2013J,100188,-15.0,
CCC,2013J,100150,-40.0,
AAA,2013J,100259,-7.0,
BBB,2014J,100512,-38.0,
BBB,2014J,100128,-17.0,175.0
CCC,2014J,100454,-26.0,
AAA,2014J,100726,-15.0,
BBB,2013J,100791,-28.0,
CCC,2013J,100605,-63.0,
AAA,2013J,100167,-10.0,
CCC,2014J,100511,-32.0,
CCC,2014J,100164,-14.0,187.0
CCC,2014J,100556,-16.0,
BBB,2013J,100143,-45.0,165.0
CCC,2013J,100057,-48.0,
CCC,2013J,100754,-17.0,
CCC,2013J,100388,-36.0,
BBB,2013J,100263,-11.0,
BBB,2014J,100131,-34.0,136.0
BBB,2014J,100070,-10.0,
AAA,2013J,100123,-22.0,
CCC,2013J,100578,-24.0,
CCC,2014J,100009,-37.0,207.0
AAA,2013J,100810,-6.0,
BBB,2014J,100410,-31.0,152.0
BBB,2014J,100368,-19.0,
CCC,2013J,100580,-28.0,
CCC,2014J,100117,4.0,
CCC,2013J,100183,-6.0,
CCC,2013J,100704,-28.0,
CCC,2014J,100661,-26.0,
BBB,2014J,100846,-44.0,
BBB,2013J,100000,-33.0,
BBB,2013J,100356,-13.0,
CCC,2013J,100675,-15.0,
BBB,2013J,100175,-52.0,
BBB,2014J,100012,-10.0,
AAA,2014J,100308,-32.0,
CCC,2013J,100029,-50.0,
BBB,2013J,100295,-3.0,
BBB,2013J,100065,-1.0,
BBB,2013J,100250,-25.0,
AAA,2013J,100315,-16.0,
BBB,2013J,100697,-15.0,
CCC,2014J,100439,-2.0,
BBB,2013J,100404,-15.0,
AAA,2013J,100536,-57.0,
BBB,2014J,100305,10.0,
AAA,2013J,100757,-9.0,
BBB,2013J,100643,-40.0,
BBB,2013J,100566,-51.0,45.0
AAA,2013J,100475,-20.0,154.0
CCC,2013J,100883,-36.0,
AAA,2014J,100088,-23.0,
CCC,2013J,100454,-15.0,
CCC,2014J,100265,-41.0,
AAA,2014J,100584,-52.0,103.0
BBB,2013J,100232,-22.0,
AAA,2013J,100652,-41.0,
AAA,2013J,100162,-27.0,
CCC,2013J,100011,-57.0,
CCC,2014J,100355,-35.0,
AAA,2014J,100237,-16.0,
AAA,2013J,100081,-18.0,
AAA,2013J,100570,-46.0,200.0
BBB,2013J,100184,-53.0,
AAA,2014J,100503,-30.0,
AAA,2014J,100428,-19.0,
BBB,2013J,100763,-22.0,
AAA,2013J,100001,-40.0,
CCC,2013J,100367,-24.0,
CCC,2013J,100654,0.0,
CCC,2013J,100054,-26.0,203.0
AAA,2013J,100164,-63.0,194.0
CCC,2013J,100536,-26.0,
CCC,2013J,100739,10.0,
AAA,2013J,100404,-56.0,
CCC,2014J,100067,-29.0,53.0
BBB,2014J,100830,-35.0,
CCC,2013J,100378,-28.0,
BBB,2013J,100533,-26.0,
CCC,2014J,100242,-7.0,
AAA,2014J,100408,-28.0,
BBB,2013J,100049,-4.0,115.0
AAA,2014J,100155,-32.0,
AAA,2013J,100426,-37.0,
AAA,2013J,100865,-43.0,
BBB,2014J,100156,-66.0,
AAA,2014J,100697,-24.0,
CCC,2014J,100506,10.0,5.0
BBB,2013J,100626,-21.0,
CCC,2014J,100827,-16.0,
CCC,2013J,100446,-38.0,225.0
AAA,2014J,100642,-35.0,
AAA,2013J,100375,-10.0,62.0
BBB,2013J,100583,10.0,
BBB,2014J,100295,-0.0,
BBB,2013J,100245,-26.0,
CCC,2013J,100068,-45.0,
AAA,2014J,100665,-59.0,
CCC,2014J,100489,-53.0,
AAA,2013J,100384,-29.0,
BBB,2014J,100801,-36.0,114.0
BBB,2014J,100057,-59.0,208.0
CCC,2013J,100202,-31.0,
AAA,2014J,100724,-36.0,
AAA,2014J,100818,-53.0,
BBB,2014J,100244,-37.0,
BBB,2014J,100673,-36.0,189.0
AAA,2013J,100708,-42.0,
AAA,2014J,100798,-11.0,
AAA,2014J,100165,-68.0,
BBB,2014J,100310,-70.0,
BBB,2014J,100645,-30.0,
BBB,2013J,100071,-28.0,
CCC,2013J,100338,-22.0,
AAA,2013J,100718,-41.0,
CCC,2014J,100309,-48.0,
CCC,2014J,100028,-30.0,
AAA,2014J,100362,-39.0,179.0
AAA,2013J,100636,1.0,
AAA,2014J,100182,-36.0,
AAA,2013J,100824,-31.0,
BBB,2013J,100470,10.0,
AAA,2014J,100591,-34.0,
AAA,2013J,100020,-19.0,
BBB,2013J,100846,-17.0,
CCC,2013J,100407,-15.0,
AAA,2013J,100760,-24.0,
CCC,2013J,100030,-26.0,
CCC,2014J,100368,-42.0,
AAA,2013J,100145,-23.0,149.0
BBB,2013J,100368,10.0,
CCC,2013J,100692,-6.0,
AAA,2013J,100078,-24.0,31.0
CCC,2014J,100463,-13.0,211.0
BBB,2013J,100447,-47.0,
BBB,2013J,100579,-35.0,
BBB,2013J,100382,-11.0,
BBB,2013J,100867,-0.0,
AAA,2013J,100116,-45.0,19.0
CCC,2013J,100251,-40.0,
BBB,2014J,100169,10.0,
CCC,2014J,100346,-28.0,
BBB,2014J,100400,6.0,
BBB,2013J,100537,-26.0,
BBB,2014J,100373,-25.0,107.0
CCC,2014J,100226,-36.0,
CCC,2013J,100053,-11.0,
CCC,2013J,100002,-3.0,
BBB,2014J,100159,-51.0,
CCC,2013J,100781,-37.0,
BBB,2013J,100278,-12.0,90.0
BBB,2014J,100767,-33.0,
CCC,2014J,100679,-40.0,
AAA,2014J,100522,-10.0,92.0
AAA,2014J,100804,-39.0,224.0
BBB,2014J,100516,-26.0,57.0
BBB,2013J,100286,-54.0,
BBB,2014J,100414,-48.0,
BBB,2014J,100753,-28.0,
BBB,2014J,100629,-29.0,135.0
BBB,2014J,100630,-49.0,
BBB,2013J,100223,-44.0,54.0
CCC,2013J,100427,-21.0,
BBB,2013J,100621,-69.0,210.0
BBB,2013J,100191,-50.0,
CCC,2014J,100337,-67.0,
CCC,2014J,100688,-22.0,
AAA,2013J,100374,-66.0,
CCC,2013J,100746,-29.0,
AAA,2014J,100466,3.0,
AAA,2014J,100435,3.0,170.0
CCC,2014J,100516,-66.0,
AAA,2013J,100328,-24.0,98.0
CCC,2013J,100045,-50.0,
CCC,2014J,100340,-54.0,
CCC,2013J,100885,-32.0,
CCC,2013J,100469,-5.0,
CCC,2013J,100140,-18.0,
AAA,2013J,100492,-44.0,
CCC,2013J,100750,-16.0,
AAA,2013J,100470,-45.0,
AAA,2014J,100437,-46.0,
BBB,2014J,100263,-28.0,39.0
CCC,2013J,100873,-34.0,
AAA,2013J,100535,-33.0,
BBB,2014J,100224,-30.0,
BBB,2013J,100151,-19.0,
CCC,2013J,100373,-27.0,96.0
BBB,2014J,100038,-36.0,
BBB,2013J,100800,-22.0,
CCC,2013J,100006,-13.0,
BBB,2013J,100878,-41.0,
AAA,2014J,100130,-7.0,
AAA,2013J,100195,-52.0,
AAA,2013J,100856,6.0,
AAA,2014J,100577,-57.0,
AAA,2013J,100625,-37.0,
CCC,2013J,100557,-49.0,
AAA,2014J,100821,10.0,
BBB,2013J,100612,-40.0,
CCC,2014J,100184,-40.0,
CCC,2013J,100165,-37.0,
BBB,2013J,100384,-28.0,
AAA,2013J,100884,-37.0,
CCC,2014J,100677,-33.0,
AAA,2013J,100427,-101.0,
CCC,2013J,100173,-29.0,
CCC,2014J,100418,-30.0,204.0
AAA,2013J,100887,-9.0,
CCC,2014J,100605,-4.0,
AAA,2013J,100553,-34.0,
AAA,2014J,100700,-14.0,
CCC,2013J,100636,-52.0,31.0
CCC,2014J,100666,-15.0,
AAA,2013J,100147,-41.0,
CCC,2014J,100533,-54.0,
CCC,2014J,100113,-34.0,134.0
CCC,2013J,100685,-2.0,
AAA,2013J,100725,-26.0,
AAA,2013J,100713,-0.0,
CCC,2014J,100710,-45.0,
CCC,2014J,100855,-9.0,83.0
BBB,2013J,100336,-25.0,
AAA,2014J,100696,-26.0,
CCC,2013J,100577,-17.0,15.0
AAA,2014J,100640,-25.0,
BBB,2013J,100354,-45.0,
CCC,2014J,100785,-12.0,
BBB,2014J,100233,5.0,
AAA,2014J,100635,-42.0,
AAA,2013J,100541,-67.0,
BBB,2013J,100003,-20.0,
BBB,2013J,100786,-33.0,
CCC,2013J,100114,-19.0,
AAA,2014J,100676,-39.0,
CCC,2014J,100648,-35.0,
CCC,2014J,100893,-32.0,144.0
CCC,2013J,100433,-29.0,
BBB,2013J,100411,-55.0,
BBB,2014J,100345,-54.0,
CCC,2013J,100184,-27.0,
CCC,2013J,100479,-53.0,
AAA,2014J,100606,-17.0,
CCC,2014J,100663,-16.0,
AAA,2013J,100696,-37.0,
BBB,2013J,100025,-24.0,
BBB,2013J,100795,-26.0,163.0
BBB,2014J,100033,-18.0,
CCC,2013J,100039,-18.0,220.0
CCC,2014J,100377,-82.0,
AAA,2013J,100444,-35.0,
AAA,2013J,100326,-20.0,
AAA,2013J,100285,-38.0,119.0
CCC,2014J,100654,-29.0,78.0
BBB,2013J,100349,-15.0,
CCC,2013J,100089,0.0,
CCC,2013J,100383,-7.0,197.0
AAA,2013J,100191,-32.0,
AAA,2014J,100881,-34.0,
BBB,2013J,100766,-87.0,
BBB,2013J,100476,-37.0,
CCC,2013J,100805,-57.0,
AAA,2014J,100750,-26.0,60.0
BBB,2013J,100493,-27.0,158.0
AAA,2013J,100312,-16.0,
AAA,2013J,100573,-2.0,
AAA,2013J,100686,-31.0,
BBB,2013J,100367,-56.0,217.0
BBB,2013J,100603,-41.0,
BBB,2013J,100554,-37.0,
CCC,2013J,100732,-18.0,
CCC,2014J,100248,-49.0,6.0
BBB,2014J,100329,-36.0,213.0
BBB,2014J,100063,-33.0,51.0
CCC,2013J,100276,-39.0,
CCC,2014J,100734,-14.0,
AAA,2013J,100474,-17.0,
CCC,2014J,100767,-7.0,
AAA,2014J,100781,-37.0,
BBB,2014J,100213,-6.0,
BBB,2014J,100505,-57.0,
BBB,2013J,100884,-58.0,
AAA,2013J,100484,-54.0,
CCC,2014J,100730,-30.0,
AAA,2013J,100711,-6.0,
AAA,2014J,100576,-42.0,
CCC,2014J,100759,-40.0,
CCC,2014J,100616,-34.0,
AAA,2013J,100878,-19.0,
CCC,2014J,100048,-40.0,
CCC,2013J,100517,-41.0,
AAA,2013J,100356,-57.0,
BBB,2014J,100380,-6.0,
AAA,2014J,100528,-28.0,
AAA,2014J,100230,-45.0,
AAA,2014J,100337,-5.0,113.0
AAA,2013J,100095,-42.0,
BBB,2013J,100891,-2.0,
BBB,2014J,100466,-2.0,
AAA,2013J,100336,-29.0,
AAA,2013J,100568,-60.0,
AAA,2014J,100378,10.0,
CCC,2014J,100119,-22.0,
CCC,2014J,100727,-11.0,
BBB,2013J,100141,-16.0,
CCC,2013J,100503,-4.0,
BBB,2013J,100672,-43.0,
AAA,2014J,100742,-24.0,
BBB,2013J,100465,-54.0,
AAA,2013J,100398,-17.0,
AAA,2014J,100122,-30.0,
AAA,2014J,100076,-24.0,
AAA,2014J,100071,-33.0,
AAA,2014J,100344,-47.0,
CCC,2014J,100215,-14.0,37.0
BBB,2014J,100816,-41.0,
CCC,2013J,100187,-19.0,
AAA,2013J,100042,-21.0,
BBB,2014J,100538,-30.0,
CCC,2013J,100831,-61.0,
BBB,2014J,100274,-56.0,
BBB,2013J,100461,-46.0,
AAA,2014J,100240,-73.0,163.0
AAA,2013J,100327,-2.0,
AAA,2014J,100689,-23.0,113.0
AAA,2013J,100425,-31.0,
CCC,2013J,100445,-74.0,119.0
BBB,2013J,100459,-66.0,
BBB,2014J,100840,-30.0,
CCC,2013J,100756,9.0,113.0
AAA,2014J,100150,-44.0,
AAA,2013J,100350,-13.0,
BBB,2013J,100648,-40.0,173.0
CCC,2014J,100299,-29.0,
BBB,2013J,100290,-6.0,
AAA,2014J,100596,-44.0,
CCC,2014J,100756,-2.0,
AAA,2014J,100810,-29.0,
AAA,2013J,100414,-8.0,
BBB,2014J,100713,-44.0,
AAA,2013J,100507,-2.0,222.0
CCC,2014J,100320,-25.0,120.0
CCC,2014J,100073,-21.0,
AAA,2013J,100891,-40.0,
BBB,2013J,100408,-39.0,
BBB,2013J,100712,-11.0,
CCC,2014J,100280,-34.0,
BBB,2013J,100176,-60.0,
AAA,2013J,100744,-64.0,40.0
AAA,2014J,100092,-65.0,78.0
CCC,2013J,100452,-18.0,
AAA,2014J,100859,-53.0,
AAA,2014J,100077,-27.0,
CCC,2013J,100799,-31.0,
CCC,2013J,100669,-21.0,116.0
BBB,2014J,100759,-27.0,
AAA,2014J,100099,-84.0,28.0
CCC,2013J,100201,-36.0,
AAA,2014J,100002,-21.0,
BBB,2014J,100690,3.0,
CCC,2013J,100633,4.0,
CCC,2014J,100182,-57.0,56.0
AAA,2013J,100562,-37.0,
CCC,2014J,100590,-61.0,
AAA,2014J,100698,0.0,
CCC,2014J,100527,-10.0,
BBB,2013J,100477,-23.0,
BBB,2014J,100309,-2.0,
AAA,2014J,100539,-6.0,
AAA,2013J,100756,-21.0,50.0
BBB,2014J,100279,-15.0,
BBB,2014J,100154,-34.0,
BBB,2013J,100374,-37.0,
BBB,2013J,100142,-7.0,
CCC,2013J,100684,3.0,
BBB,2014J,100892,-45.0,223.0
CCC,2014J,100171,-35.0,
CCC,2013J,100617,-23.0,
CCC,2013J,100394,-20.0,
CCC,2014J,100012,-40.0,
CCC,2013J,100613,8.0,95.0
AAA,2014J,100630,-22.0,202.0
CCC,2013J,100767,5.0,129.0
AAA,2013J,100397,-39.0,
CCC,2014J,100828,-32.0,
BBB,2014J,100786,-33.0,
CCC,2013J,100668,-60.0,118.0
AAA,2013J,100441,-15.0,216.0
BBB,2014J,100566,-22.0,
CCC,2014J,100168,-36.0,
BBB,2013J,100114,-32.0,
AAA,2013J,100166,-53.0,
CCC,2013J,100108,-16.0,
CCC,2013J,100707,-66.0,
AAA,2013J,100428,-16.0,
CCC,2014J,100796,-63.0,
BBB,2013J,100085,-32.0,
BBB,2014J,100714,-53.0,
BBB,2013J,100363,-1.0,
BBB,2013J,100874,-53.0,
BBB,2013J,100665,-63.0,
AAA,2013J,100131,-38.0,
CCC,2014J,100148,-60.0,
AAA,2013J,100342,-19.0,
AAA,2014J,100720,-70.0,
BBB,2013J,100597,-51.0,58.0
BBB,2013J,100532,-42.0,
BBB,2013J,100433,-14.0,
CCC,2013J,100743,-4.0,
AAA,2014J,100161,-8.0,
AAA,2013J,100657,-33.0,
BBB,2014J,100384,-79.0,
CCC,2014J,100680,-22.0,
BBB,2014J,100080,-1.0,
BBB,2013J,100740,-5.0,
BBB,2013J,100586,-21.0,
CCC,2014J,100865,-54.0,
CCC,2013J,100017,9.0,
CCC,2014J,100683,-58.0,
AAA,2014J,100039,-53.0,
AAA,2014J,100393,-11.0,
CCC,2013J,100620,-39.0,
AAA,2014J,100309,-54.0,
BBB,2013J,100264,1.0,68.0
AAA,2014J,100541,-21.0,
BBB,2014J,100762,-38.0,154.0
AAA,2014J,100578,-53.0,
BBB,2014J,100253,10.0,
CCC,2013J,100628,-30.0,
CCC,2013J,100273,-2.0,
AAA,2013J,100831,-40.0,
BBB,2014J,100093,-40.0,
AAA,2013J,100851,-1.0,
CCC,2014J,100745,-1.0,5.0
CCC,2013J,100347,-68.0,
AAA,2013J,100640,-19.0,
BBB,2013J,100601,-32.0,
BBB,2014J,100028,-51.0,
BBB,2014J,100020,-25.0,
BBB,2014J,100281,-57.0,
AAA,2013J,100289,-39.0,
BBB,2013J,100063,-46.0,
BBB,2014J,100784,-40.0,39.0
CCC,2014J,100272,-31.0,
CCC,2013J,100377,-50.0,21.0
CCC,2014J,100314,1.0,
AAA,2013J,100534,-20.0,165.0
CCC,2013J,100146,6.0,
BBB,2014J,100458,-33.0,
BBB,2013J,100008,-41.0,
CCC,2013J,100172,5.0,
CCC,2014J,100192,-42.0,
AAA,2014J,100677,-34.0,
CCC,2013J,100774,-55.0,
BBB,2014J,100659,-16.0,
AAA,2014J,100366,-18.0,
BBB,2014J,100839,-5.0,104.0
CCC,2014J,100261,-12.0,7.0
AAA,2013J,100503,-4.0,
CCC,2014J,100565,-32.0,171.0
CCC,2013J,100304,-47.0,
